time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-20 00:00:00+00:00,4,3,,
2024-11-21 00:00:00+00:00,1,1,3.0,2.0
2024-11-22 00:00:00+00:00,2,1,1.0,1.0
2024-11-25 00:00:00+00:00,2,1,,
2024-11-26 00:00:00+00:00,1,1,,
2024-11-27 00:00:00+00:00,3,2,,
